case_id,caseName,opinion_id,date_filed,court,absolute_url,next_url
1,Trump v. Barbara Revisions: 7/01/26,11351070,6/30/2026,Supreme Court of the United States,/opinion/10883542/trump-v-barbara-revisions-70126/,https://www.courtlistener.com/api/rest/v4/search/?cursor=cz0zLjk4MjgwNDgmcz0xMDg3NzY0MyZ0PW8mZD0yMDI2LTA4LTExJnA9Mg%3D%3D&q=dateFiled%3A%5B2025-08-10+TO+2026-08-09%5D&type=o
2,National Republican Senatorial Committee v. Federal Election Comm'n,11349765,6/30/2026,Supreme Court of the United States,/opinion/10882240/national-republican-senatorial-committee-v-federal-election-commn/,https://www.courtlistener.com/api/rest/v4/search/?cursor=cz0zLjk4MjgwNDgmcz0xMDg3NzY0MyZ0PW8mZD0yMDI2LTA4LTExJnA9Mg%3D%3D&q=dateFiled%3A%5B2025-08-10+TO+2026-08-09%5D&type=o
3,Trump v. Barbara,11349764,6/30/2026,Supreme Court of the United States,/opinion/10882239/trump-v-barbara/,https://www.courtlistener.com/api/rest/v4/search/?cursor=cz0zLjk4MjgwNDgmcz0xMDg3NzY0MyZ0PW8mZD0yMDI2LTA4LTExJnA9Mg%3D%3D&q=dateFiled%3A%5B2025-08-10+TO+2026-08-09%5D&type=o
4,West Virginia v. B. P. J.,11349709,6/30/2026,Supreme Court of the United States,/opinion/10882186/west-virginia-v-b-p-j/,https://www.courtlistener.com/api/rest/v4/search/?cursor=cz0zLjk4MjgwNDgmcz0xMDg3NzY0MyZ0PW8mZD0yMDI2LTA4LTExJnA9Mg%3D%3D&q=dateFiled%3A%5B2025-08-10+TO+2026-08-09%5D&type=o
5,Chatrie v. United States,11349205,6/29/2026,Supreme Court of the United States,/opinion/10881683/chatrie-v-united-states/,https://www.courtlistener.com/api/rest/v4/search/?cursor=cz0zLjk4MjgwNDgmcz0xMDg3NzY0MyZ0PW8mZD0yMDI2LTA4LTExJnA9Mg%3D%3D&q=dateFiled%3A%5B2025-08-10+TO+2026-08-09%5D&type=o
6,Trump v. Cook,11349204,6/29/2026,Supreme Court of the United States,/opinion/10881682/trump-v-cook/,https://www.courtlistener.com/api/rest/v4/search/?cursor=cz0zLjk4MjgwNDgmcz0xMDg3NzY0MyZ0PW8mZD0yMDI2LTA4LTExJnA9Mg%3D%3D&q=dateFiled%3A%5B2025-08-10+TO+2026-08-09%5D&type=o
7,Trump v. Slaughter,11349203,6/29/2026,Supreme Court of the United States,/opinion/10881681/trump-v-slaughter/,https://www.courtlistener.com/api/rest/v4/search/?cursor=cz0zLjk4MjgwNDgmcz0xMDg3NzY0MyZ0PW8mZD0yMDI2LTA4LTExJnA9Mg%3D%3D&q=dateFiled%3A%5B2025-08-10+TO+2026-08-09%5D&type=o
8,Watson v. Republican National Committee,11349202,6/29/2026,Supreme Court of the United States,/opinion/10881680/watson-v-republican-national-committee/,https://www.courtlistener.com/api/rest/v4/search/?cursor=cz0zLjk4MjgwNDgmcz0xMDg3NzY0MyZ0PW8mZD0yMDI2LTA4LTExJnA9Mg%3D%3D&q=dateFiled%3A%5B2025-08-10+TO+2026-08-09%5D&type=o
9,Monsanto v. Durnell,11347763,6/25/2026,Supreme Court of the United States,/opinion/10880244/monsanto-v-durnell/,https://www.courtlistener.com/api/rest/v4/search/?cursor=cz0zLjk4MjgwNDgmcz0xMDg3NzY0MyZ0PW8mZD0yMDI2LTA4LTExJnA9Mg%3D%3D&q=dateFiled%3A%5B2025-08-10+TO+2026-08-09%5D&type=o
10,Mullin v. Al Otro Lado,11347762,6/25/2026,Supreme Court of the United States,/opinion/10880243/mullin-v-al-otro-lado/,https://www.courtlistener.com/api/rest/v4/search/?cursor=cz0zLjk4MjgwNDgmcz0xMDg3NzY0MyZ0PW8mZD0yMDI2LTA4LTExJnA9Mg%3D%3D&q=dateFiled%3A%5B2025-08-10+TO+2026-08-09%5D&type=o
